Data S1. List of Border Protected Areas,,
WDPAID,NAME,ISO3
2530,Zambezi,ZWE
2531,Mana Pools,ZWE
2532,Chimanimani,ZWE
2553,Internacional La Amistad,CRI
2554,Darien National Park,PAN
2555,Aouk-Aoukale,CAF
2561,Urho Kekkosen kansallispuisto,FIN
2570,Los Glaciares National Park,ARG
2574,Mount Nimba Strict Nature Reserve,CIV;GIN
2575,Serengeti National Park,TZA
2578,Djoudj National Bird Sanctuary,SEN
2580,Niokolo-Koba National Park,SEN
2885,Moosehorn National Wildlife Refuge,USA
2904,Arctic National Wildlife Refuge,USA
2956,Tetlin,USA
3058,Lake Kariba,ZWE
3059,Tuli,ZWE
3159,2001842 Vindelfjällen,SWE
3225,Sahel,BFA
3226,Kourtiagou,BFA
3228,Pama,BFA
3314,Columbia River,BLZ
3370,Tambopata,PER
3381,Limassol Lake (Akrotiri),CYP
3613,Pedu,MYS
3849,Labu (Productive Production),BRN
3851,Ladan Hills (Productive Production),BRN
3852,Selirong (Productive Production),BRN
4003,Sai Yok,THA
4012,Kaengkrachan Forest Complex,THA
4042,Forêt De La Massane,FRA
4081,West Zambezi,ZMB
4102,Musalangu,ZMB
4105,Kafinda,ZMB
4110,Kaputa,ZMB
4113,Kalasa Mukoso,ZMB
4178,Atlin/A Teix'Gi Aan Tlein Park,CAN
4185,Cathedral Park,CAN
4200,Tonda,PNG
4326,Durmitor National Park,MNE
4327,Garamba National Park,COD
4330,Lanín,ARG
4332,Iguazú,ARG
4341,Landschaftssee in der KG Laafeld,AUT
4343,Naturschutzgebiet Kaisergebirge,AUT
4349,Rheindelta,AUT
4367,Serranía La Neblina,VEN
4376,Slovensky kras,SVK
4412,Hoher Ifen,DEU
4415,Östliche Chiemgauer Alpen,DEU
4418,Karwendel und Karwendelvorgebirge,DEU
4419,Ammergebirge,DEU
4493,National Park Luengue-Luiana,AGO
4535,Sonai-Rupai,IND
4548,Valmiki,IND
4566,Sechu Tuan Nala,IND
4567,Gamgul Siahbehi,IND
4648,Vwaza Marsh Wildlife Reserve,MWI
4652,Maputo,MOZ
4674,Kaeng Tana,THA
4723,Sapal de Castro Marim e Vila Real de Santo António,PRT
4999,Tassili n'Ajjer,DZA
5061,Jigme Dorji National Park,BTN
5067,Jomotsangkha Wildlife Sanctuary,BTN
5126,Reserva Biológica Do Guaporé,BRA
5166,Mandelia,TCD
5177,Opara,NGA
5419,Bangser Ried,AUT
5425,Blockheide-Eibenstein,AUT
5434,Naturschutzgebiet Arnspitze,AUT
5439,Naturschutzgebiet Valsertal,AUT
5443,Naturschutzgebiet Vilsalpsee,AUT
5467,Naturschutzgebiete (NSG) - NSG Inneres Bodental u. Vertatscha,AUT
5468,Naturschutzgebiete (NSG) - NSG Vellacher Kotschna,AUT
5553,Falkenstein,AUT
5561,Bernstein-Lockenhaus-Rechnitz,AUT
5615,Viroin,BEL
5633,Trou de Torgny,BEL
5808,Serra da Malcata,PRT
5813,Haff Réimech - Taupeschwues,LUX
5939,'Parco naturale dell''Alpe Veglia e dell''Alpe Devero',ITA
6012,Parco naturale Gruppo di Tessa,ITA
6020,Parco naturale della Alta Valle Pesio e Tanaro,ITA
6022,Parco naturale delle Alpi Marittime,ITA
6250,Petite Camargue Alsacienne,FRA
6264,Queyras,FRA
6271,Contamines-Montjoie,FRA
6307,Vosges Du Nord,FRA
6483,To partheno dasos kentrikis Rodopis,GRC
6675,Sierra de Bahoruco,DOM
6684,Runn of Kutch,PAK
6776,Cholistan,PAK
6779,Indo-Pak Border,PAK
6794,Agram Basti,PAK
6815,Phala/Kuthnar,PAK
6817,Ghamot,PAK
6820,Kilik/Mintaka,PAK
6823,Chassi/Baushdar,PAK
6824,Tangir,PAK
6995,Wollmatinger Ried - Untersee - Gnadensee,DEU
7103,NSG Zwillbrocker Venn,DEU
7183,Attert (Bois de Faascht),BEL
7400,Chelbi,ETH
7417,Outamba,SLE
7442,Caprivi,NAM
7445,Malalotja Nature Reserve,SWZ
7447,Sehlabathebe,LSO
7450,Chobe,BWA
7451,Mlawula Nature Reserve,SWZ
7457,Kasane,BWA
7458,Kazuma,BWA
7459,Sibuyu,BWA
7485,Värriön luonnonpuisto,FIN
7508,Gemsbok,BWA
7517,Dida,BFA
7633,Loitokitok,KEN
7660,Mount Elgon,KEN
7873,Gashaka-Gumti,NGA
7908,Estação Ecológica Do Taim,BRA
7948,Maronga,MOZ
7952,Shey-Phoksundo,NPL
7957,Agoua,BEN
7962,Lower Zambezi,ZMB
7996,Royal Manas National Park,BTN
8501,Nara Desert,PAK
8673,Betung Kerihun,IDN
8785,Ai-Ais Hot Springs,NAM
9148,Nyungwe,RWA
9160,Ruvubu,BDI
9161,Kibira,BDI
9162,Rusizi,BDI
9171,Gola Forest National Park,LBR
9176,East Nimba Nature Reserve,LBR
9206,Mehao,IND
9207,Barnadi,IND
9232,Buxa,IND
9233,Narendrapur,IND
9279,Rema Kalenga,BGD
9280,Pablakhali,BGD
9363,Georgenfelder Hochmoor,DEU
9400,La Paya,COL
9416,Volcan Isluga,CHL
9435,Las Vicunas,CHL
9440,Lago Carlota,CHL
9441,Lago Palena,CHL
9443,Lago Las Torres,CHL
9564,Soproni Tájvédelmi Körzet,HUN
9566,Fertő–Hanság Nemzeti Park,HUN
9568,Kőszegi Tájvédelmi Körzet,HUN
9579,Szatmár-beregi Tájvédelmi Körzet,HUN
9597,Fényi-erdő természetvédelmi terület,HUN
9612,Srebarna Nature Reserve,BGR
9638,Parque Nacional Montecristo,SLV
9705,Ipolytarnóci ősmaradványok természetvédelmi terület,HUN
9741,El Kala,DZA
9890,Kvisleflået og Hovdlia,NOR
9900,Ovdalsdasvarri,NOR
9918,Favnvassdalen,NOR
10091,Annapurna,NPL
10132,Nam Poui,LAO
10213,Lung Nag,IND
10329,Pac Bo,VNM
10345,Phong Nha-Ke Bang,VNM
10360,Trung Khanh,VNM
10362,Muong Nhe,VNM
10365,Xuan Nha,VNM
10375,Vu Quang,VNM
10395,Lo Go-Xa Mat,VNM
10401,2000916 Rogen,SWE
10407,2001192 Bjurälven,SWE
10706,Villarrica,CHL
10732,Sankan Biriwa (Tingi Hills),SLE
10736,Boro,SSD
10737,Lantoto,SSD
10745,Manas Wildlife Sanctuary,IND
10772,Sur del Estado Bolívar,VEN
10775,"Cuenca de los Ríos Guasare, Socuy y Cachiri",VEN
10779,Imataca,VEN
10780,Caura,VEN
10781,Sipapo,VEN
10801,Parque do Tumucumaque,BRA
10901,Iguazu National Park,ARG
10903,Talamanca Range-La Amistad Reserves / La Amistad National Park,CRI;PAN
10905,Chitwan National Park,NPL
10907,"Mana Pools National Park, Sapi and Chewore Safari Areas",ZWE
11144,Magurski Park Narodowy,POL
11150,Cazanele Mari și Cazanele Mici,ROU
11206,Jezioro Siedmiu Wysp,POL
11288,Mechacz Wielki,POL
11295,Boczki,POL
11322,Torfowisko pod Zieleńcem,POL
11415,Śnieżnik Kłodzki,POL
11448,Biała Woda,POL
11449,Wąwóz Homole,POL
11450,Wysokie Skałki,POL
11452,Okopy Konfederackie,POL
11489,Wschodniobeskidzki Obszar Chronionego Krajobrazu,POL
11501,Ali botush,BGR
11504,Chuprene,BGR
11525,Shabanitza,BGR
11551,Stariat Dab,BGR
11580,Shatskiy,UKR
11597,Kashimbila,NGA
11635,Śnieżnicki Park Krajobrazowy,POL
11640,Sobiborski Park Krajobrazowy,POL
11641,Strzelecki Park Krajobrazowy,POL
11652,Dosso,NER
11772,Pădurea Canaraua Fetii,ROU
